Date,CPU Utilization,Total Power,CPU Power,GPU Power
2024-10-22 04:26:20,1.03125,56.57031,56.57031,0.00000
2024-10-22 04:26:21,0.96154,57.87500,57.87500,0.00000
2024-10-22 04:26:22,1.04167,58.18750,58.18750,0.00000
2024-10-22 04:26:23,0.96154,57.59375,57.59375,0.00000
2024-10-22 04:26:24,1.04167,57.89844,57.89844,0.00000
2024-10-22 04:26:25,0.96154,57.86719,57.86719,0.00000
2024-10-22 04:26:26,0.96154,58.21875,58.21875,0.00000
2024-10-22 04:26:27,1.04167,58.14063,58.14063,0.00000
2024-10-22 04:26:28,0.96154,57.33594,57.33594,0.00000
2024-10-22 04:26:29,1.04167,57.36719,57.36719,0.00000
2024-10-22 04:26:30,0.96154,57.07031,57.07031,0.00000
2024-10-22 04:26:31,1.04167,57.90625,57.90625,0.00000
2024-10-22 04:26:32,0.96154,58.03125,58.03125,0.00000
2024-10-22 04:26:33,1.04167,58.05469,58.05469,0.00000
2024-10-22 04:26:34,0.96154,58.20313,58.20313,0.00000
2024-10-22 04:26:35,1.04167,58.06250,58.06250,0.00000
2024-10-22 04:26:36,0.96154,58.06250,58.06250,0.00000
2024-10-22 04:26:37,1.04167,58.15625,58.15625,0.00000
2024-10-22 04:26:38,0.96154,58.21875,58.21875,0.00000
2024-10-22 04:26:39,1.04167,56.50000,56.50000,0.00000
2024-10-22 04:26:40,0.96154,58.00781,58.00781,0.00000
2024-10-22 04:26:41,1.04167,58.11719,58.11719,0.00000
2024-10-22 04:26:42,0.96154,58.07813,58.07813,0.00000
2024-10-22 04:26:43,1.04167,57.91406,57.91406,0.00000
2024-10-22 04:26:44,0.96154,57.68750,57.68750,0.00000
2024-10-22 04:26:45,1.04167,58.13281,58.13281,0.00000
2024-10-22 04:26:46,0.96154,57.81250,57.81250,0.00000
2024-10-22 04:26:47,1.04167,57.87500,57.87500,0.00000
2024-10-22 04:26:48,0.96154,57.72656,57.72656,0.00000
2024-10-22 04:26:49,1.04167,57.08594,57.08594,0.00000
2024-10-22 04:26:50,0.96154,57.14063,57.14063,0.00000
2024-10-22 04:26:51,1.04167,57.96094,57.96094,0.00000
2024-10-22 04:26:52,0.96154,58.10156,58.10156,0.00000
2024-10-22 04:26:53,1.04167,58.12500,58.12500,0.00000
2024-10-22 04:26:54,0.96154,58.18750,58.18750,0.00000
2024-10-22 04:26:55,1.04167,58.12500,58.12500,0.00000
2024-10-22 04:26:56,0.96154,58.23438,58.23438,0.00000
2024-10-22 04:26:57,1.04167,58.17188,58.17188,0.00000
2024-10-22 04:26:58,0.96154,58.17969,58.17969,0.00000
2024-10-22 04:26:59,1.04167,56.99219,56.99219,0.00000
2024-10-22 04:27:00,0.96154,56.46094,56.46094,0.00000
2024-10-22 04:27:01,1.04167,58.02344,58.02344,0.00000
2024-10-22 04:27:02,0.96154,58.38281,58.38281,0.00000
2024-10-22 04:27:03,1.04167,57.67969,57.67969,0.00000
2024-10-22 04:27:04,0.96154,58.03906,58.03906,0.00000
2024-10-22 04:27:05,1.04167,58.20313,58.20313,0.00000
2024-10-22 04:27:06,0.96154,57.92969,57.92969,0.00000
2024-10-22 04:27:07,1.04167,58.01563,58.01563,0.00000
2024-10-22 04:27:08,0.96154,57.44531,57.44531,0.00000
2024-10-22 04:27:09,1.04167,57.46094,57.46094,0.00000
2024-10-22 04:27:10,0.96154,57.74219,57.74219,0.00000
2024-10-22 04:27:11,1.03125,58.17969,58.17969,0.00000
2024-10-22 04:27:12,0.97115,58.27344,58.27344,0.00000
2024-10-22 04:27:13,1.03125,58.21875,58.21875,0.00000
2024-10-22 04:27:14,0.96154,58.42969,58.42969,0.00000
2024-10-22 04:27:15,1.04167,58.28906,58.28906,0.00000
2024-10-22 04:27:16,0.96154,58.03125,58.03125,0.00000
2024-10-22 04:27:17,1.04167,58.14063,58.14063,0.00000
2024-10-22 04:27:18,0.96154,58.22656,58.22656,0.00000
2024-10-22 04:27:19,1.04167,57.40625,57.40625,0.00000
2024-10-22 04:27:20,0.96154,57.44531,57.44531,0.00000
2024-10-22 04:27:21,1.04167,58.13281,58.13281,0.00000
2024-10-22 04:27:22,0.96154,57.99219,57.99219,0.00000
2024-10-22 04:27:23,1.04167,58.07813,58.07813,0.00000
2024-10-22 04:27:24,0.96154,58.11719,58.11719,0.00000
2024-10-22 04:27:25,1.04167,58.16406,58.16406,0.00000
2024-10-22 04:27:26,0.96154,57.93750,57.93750,0.00000
2024-10-22 04:27:27,1.04167,58.09375,58.09375,0.00000
2024-10-22 04:27:28,0.96154,58.27344,58.27344,0.00000
2024-10-22 04:27:29,0.96154,56.48438,56.48438,0.00000
2024-10-22 04:27:30,1.04167,57.86719,57.86719,0.00000
2024-10-22 04:27:31,0.96154,58.17188,58.17188,0.00000
2024-10-22 04:27:32,1.04167,58.22656,58.22656,0.00000
2024-10-22 04:27:33,0.96154,57.95313,57.95313,0.00000
2024-10-22 04:27:34,1.04167,58.17188,58.17188,0.00000
2024-10-22 04:27:35,0.96154,58.20313,58.20313,0.00000
2024-10-22 04:27:36,1.04167,58.20313,58.20313,0.00000
2024-10-22 04:27:37,0.96154,58.06250,58.06250,0.00000
2024-10-22 04:27:38,1.04167,58.22656,58.22656,0.00000
2024-10-22 04:27:39,0.96154,57.03906,57.03906,0.00000
2024-10-22 04:27:40,1.04167,57.25781,57.25781,0.00000
2024-10-22 04:27:41,0.96154,58.13281,58.13281,0.00000
2024-10-22 04:27:42,1.04167,57.78906,57.78906,0.00000
2024-10-22 04:27:43,0.96154,58.14844,58.14844,0.00000
2024-10-22 04:27:44,1.04167,58.06250,58.06250,0.00000
2024-10-22 04:27:45,0.97115,57.89844,57.89844,0.00000
2024-10-22 04:27:46,1.04167,57.96875,57.96875,0.00000
2024-10-22 04:27:47,0.96154,57.85156,57.85156,0.00000
2024-10-22 04:27:48,1.04167,57.62500,57.62500,0.00000
2024-10-22 04:27:49,0.96154,57.47656,57.47656,0.00000
2024-10-22 04:27:50,1.04167,57.63281,57.63281,0.00000
2024-10-22 04:27:51,0.96154,57.99219,57.99219,0.00000
2024-10-22 04:27:52,1.04167,58.16406,58.16406,0.00000
2024-10-22 04:27:53,0.96154,58.07031,58.07031,0.00000
2024-10-22 04:27:54,1.04167,57.49219,57.49219,0.00000
2024-10-22 04:27:55,0.96154,58.15625,58.15625,0.00000
2024-10-22 04:27:56,1.04167,58.11719,58.11719,0.00000
2024-10-22 04:27:57,0.96154,58.16406,58.16406,0.00000
2024-10-22 04:27:58,1.04167,57.72656,57.72656,0.00000
2024-10-22 04:27:59,0.96154,57.00000,57.00000,0.00000
2024-10-22 04:28:00,1.03125,57.21875,57.21875,0.00000
2024-10-22 04:28:01,0.96154,58.21094,58.21094,0.00000
2024-10-22 04:28:02,1.05208,58.15625,58.15625,0.00000
2024-10-22 04:28:03,0.95192,57.94531,57.94531,0.00000
2024-10-22 04:28:04,1.04167,58.06250,58.06250,0.00000
2024-10-22 04:28:05,0.96154,58.14844,58.14844,0.00000
2024-10-22 04:28:06,1.04167,58.01563,58.01563,0.00000
2024-10-22 04:28:07,0.96154,57.87500,57.87500,0.00000
2024-10-22 04:28:08,1.04167,58.01563,58.01563,0.00000
2024-10-22 04:28:09,0.96154,57.08594,57.08594,0.00000
2024-10-22 04:28:10,1.04167,57.00000,57.00000,0.00000
2024-10-22 04:28:11,0.96154,57.91406,57.91406,0.00000
2024-10-22 04:28:12,1.04167,58.10938,58.10938,0.00000
2024-10-22 04:28:13,0.96154,57.94531,57.94531,0.00000
2024-10-22 04:28:14,1.04167,58.01563,58.01563,0.00000
2024-10-22 04:28:15,0.96154,57.97656,57.97656,0.00000
2024-10-22 04:28:16,1.04167,57.82813,57.82813,0.00000
2024-10-22 04:28:17,0.96154,58.10156,58.10156,0.00000
2024-10-22 04:28:18,1.04167,58.07031,58.07031,0.00000
2024-10-22 04:28:19,0.96154,57.21094,57.21094,0.00000
2024-10-22 04:28:20,1.04167,57.02344,57.02344,0.00000
2024-10-22 04:28:21,0.96154,57.97656,57.97656,0.00000
2024-10-22 04:28:22,1.04167,58.14844,58.14844,0.00000
2024-10-22 04:28:23,0.96154,58.00000,58.00000,0.00000
2024-10-22 04:28:24,1.04167,58.04688,58.04688,0.00000
2024-10-22 04:28:25,0.96154,57.96094,57.96094,0.00000
2024-10-22 04:28:26,1.04167,58.13281,58.13281,0.00000
2024-10-22 04:28:27,0.96154,58.19531,58.19531,0.00000
2024-10-22 04:28:28,1.04167,57.28906,57.28906,0.00000
2024-10-22 04:28:29,1.04167,57.94531,57.94531,0.00000
2024-10-22 04:28:30,1.04167,57.21875,57.21875,0.00000
2024-10-22 04:28:31,0.96154,58.28906,58.28906,0.00000
2024-10-22 04:28:32,1.04167,57.78906,57.78906,0.00000
2024-10-22 04:28:33,0.96154,57.82813,57.82813,0.00000
2024-10-22 04:28:34,1.04167,58.04688,58.04688,0.00000
2024-10-22 04:28:35,1.04167,57.45313,57.45313,0.00000
2024-10-22 04:28:36,0.96154,57.96094,57.96094,0.00000
2024-10-22 04:28:37,1.04167,58.00000,58.00000,0.00000
2024-10-22 04:28:38,0.96154,57.96094,57.96094,0.00000
2024-10-22 04:28:39,1.04167,56.75000,56.75000,0.00000
2024-10-22 04:28:40,0.96154,57.54688,57.54688,0.00000
2024-10-22 04:28:41,1.04167,58.01563,58.01563,0.00000
2024-10-22 04:28:42,0.96154,57.94531,57.94531,0.00000
2024-10-22 04:28:43,1.04167,57.96875,57.96875,0.00000
2024-10-22 04:28:44,0.96154,57.92188,57.92188,0.00000
2024-10-22 04:28:45,1.04167,57.85156,57.85156,0.00000
2024-10-22 04:28:46,0.96154,57.64844,57.64844,0.00000
2024-10-22 04:28:47,1.04167,57.89844,57.89844,0.00000
